rank,title,author,url,rating,ratings_count,reviews_count,description,format,language,published
42,"Little Women (Little Women, #1)",Louisa May Alcott,https://www.goodreads.com/book/show/1934.Little_Women,4.17,"2,489,766 ratings","66,872 reviews","This is an alternate cover edition of ISBN 9780451529305. Generations of readers young and old, male and female, have fallen in love with the March sisters of Louisa May Alcott’s most popular and enduring novel, Little Women . Here are talented tomboy and author-to-be Jo, tragically frail Beth, beautiful Meg, and romantic, spoiled Amy, united in their devotion to each other and their struggles to survive in New England during the Civil War. It is no secret that Alcott based Little Women on her own early life. While her father, the freethinking reformer and abolitionist Bronson Alcott, hobnobbed with such eminent male authors as Emerson, Thoreau, and Hawthorne, Louisa supported herself and her sisters with ""woman’s work,” including sewing, doing laundry, and acting as a domestic servant. But she soon discovered she could make more money writing. Little Women brought her lasting fame and fortune, and far from being the ""girl’s book” her publisher requested, it explores such timeless themes as love and death, war and peace, the conflict between personal ambition and family responsibilities, and the clash of cultures between Europe and America.","449 pages, Mass Market Paperback",English,"September 30, 1868"
43,One Hundred Years of Solitude,Gabriel García Márquez,https://www.goodreads.com/book/show/320.One_Hundred_Years_of_Solitude,4.12,"1,119,922 ratings","60,725 reviews","Probably Garcí­a Márquez finest and most famous work. One Hundred Years of Solitude tells the story of the rise and fall, birth and death of a mythical town of Macondo through the history of the Buendia family. Inventive, amusing, magnetic, sad, alive with unforgettable men and women, and with a truth and understanding that strike the soul. One Hundred Years of Solitude is a masterpiece of the art of fiction.","417 pages, Mass Market Paperback",English,"January 1, 1967"
44,A Thousand Splendid Suns,Khaled Hosseini,https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns,4.46,"1,762,603 ratings","95,844 reviews","Mariam is only fifteen when she is sent to Kabul to marry the troubled and bitter Rasheed, who is thirty years her senior. Nearly two decades later, in a climate of growing unrest, tragedy strikes fifteen-year-old Laila, who must leave her home and join Mariam's unhappy household. Laila and Mariam are to find consolation in each other, their friendship to grow as deep as the bond between sisters, as strong as the ties between mother and daughter. With the passing of time comes Taliban rule over Afghanistan, the streets of Kabul loud with the sound of gunfire and bombs, life a desperate struggle against starvation, brutality and fear, the women's endurance tested beyond their worst imaginings. Yet love can move people to act in unexpected ways, lead them to overcome the most daunting obstacles with a startling heroism. In the end it is love that triumphs over death and destruction. A Thousand Splendid Suns is a portrait of a wounded country and a story of family and friendship, of an unforgiving time, an unlikely bond, and an indestructible love.","372 pages, Hardcover",English,"May 1, 2007"
45,The Outsiders,S.E. Hinton,https://www.goodreads.com/book/show/231804.The_Outsiders,4.15,"1,632,894 ratings","59,503 reviews","The Outsiders is about two weeks in the life of a 14-year-old boy. The novel tells the story of Ponyboy Curtis and his struggles with right and wrong in a society in which he believes that he is an outsider. According to Ponyboy, there are two kinds of people in the world: greasers and socs. A soc (short for ""social"") has money, can get away with just about anything, and has an attitude longer than a limousine. A greaser, on the other hand, always lives on the outside and needs to watch his back. Ponyboy is a greaser, and he's always been proud of it, even willing to rumble against a gang of socs for the sake of his fellow greasers--until one terrible night when his friend Johnny kills a soc. The murder gets under Ponyboy's skin, causing his bifurcated world to crumble and teaching him that pain feels the same whether a soc or a greaser. Librarian note: This record is for one of the three editions published with different covers and with ISBN 0-140-38572-X / 978-0-14-038572-4. The records are for the 1988 cover (this record), the 1995 cover , and the 2008 cover which is also the current in-print cover.","208 pages, Mass Market Paperback",English,"April 24, 1967"
46,The Secret Garden,Frances Hodgson Burnett,https://www.goodreads.com/book/show/2998.The_Secret_Garden,4.17,"1,310,164 ratings","35,160 reviews","In a house full of sadness and secrets, can young, orphaned Mary find happiness? Mary Lennox, a spoiled, ill-tempered, and unhealthy child, comes to live with her reclusive uncle in Misselthwaite Manor on England’s Yorkshire moors after the death of her parents. There she meets a hearty housekeeper and her spirited brother, a dour gardener, a cheerful robin, and her wilful, hysterical, and sickly cousin, Master Colin, whose wails she hears echoing through the house at night. With the help of the robin, Mary finds the door to a secret garden, neglected and hidden for years. When she decides to restore the garden in secret, the story becomes a charming journey into the places of the heart, where faith restores health, flowers refresh the spirit, and the magic of the garden, coming to life anew, brings health to Colin and happiness to Mary.","331 pages, Hardcover",English,"August 1, 1911"
47,The Princess Bride,William Goldman,https://www.goodreads.com/book/show/21787.The_Princess_Bride,4.27,"953,443 ratings","31,110 reviews","What happens when the most beautiful girl in the world marries the handsomest prince of all time and he turns out to be...well...a lot less than the man of her dreams? As a boy, William Goldman claims, he loved to hear his father read the S. Morgenstern classic, The Princess Bride . But as a grown-up he discovered that the boring parts were left out of good old Dad's recitation, and only the ""good parts"" reached his ears. Now Goldman does Dad one better. He's reconstructed the ""Good Parts Version"" to delight wise kids and wide-eyed grownups everywhere. What's it about? Fencing. Fighting. True Love. Strong Hate. Harsh Revenge. A Few Giants. Lots of Bad Men. Lots of Good Men. Five or Six Beautiful Women. Beasties Monstrous and Gentle. Some Swell Escapes and Captures. Death, Lies, Truth, Miracles, and a Little Sex. In short, it's about everything.","429 pages, Paperback",English,"September 1, 1973"
48,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,https://www.goodreads.com/book/show/13496.A_Game_of_Thrones,4.45,"2,761,926 ratings","73,211 reviews","Long ago, in a time forgotten, a preternatural event threw the seasons out of balance. In a land where summers can last decades and winters a lifetime, trouble is brewing. The cold is returning, and in the frozen wastes to the north of Winterfell, sinister forces are massing beyond the kingdom’s protective Wall. To the south, the king’s powers are failing—his most trusted adviser dead under mysterious circumstances and his enemies emerging from the shadows of the throne. At the center of the conflict lie the Starks of Winterfell, a family as harsh and unyielding as the frozen land they were born to. Now Lord Eddard Stark is reluctantly summoned to serve as the king’s new Hand, an appointment that threatens to sunder not only his family but the kingdom itself. Sweeping from a harsh land of cold to a summertime kingdom of epicurean plenty, A Game of Thrones tells a tale of lords and ladies, soldiers and sorcerers, assassins and bastards, who come together in a time of grim omens. Here an enigmatic band of warriors bear swords of no human metal; a tribe of fierce wildlings carry men off into madness; a cruel young dragon prince barters his sister to win back his throne; a child is lost in the twilight between life and death; and a determined woman undertakes a treacherous journey to protect all she holds dear. Amid plots and counter-plots, tragedy and betrayal, victory and terror, allies and enemies, the fate of the Starks hangs perilously in the balance, as each side endeavors to win that deadliest of conflicts: the game of thrones.","835 pages, Mass Market Paperback",English,"August 6, 1996"
49,The Time Traveler's Wife,Audrey Niffenegger,https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife,,,,,,,
50,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows,4.62,"4,151,127 ratings","100,952 reviews","Harry has been burdened with a dark, dangerous and seemingly impossible task: that of locating and destroying Voldemort's remaining Horcruxes. Never has Harry felt so alone, or faced a future so full of shadows. But Harry must somehow find within himself the strength to complete the task he has been given. He must leave the warmth, safety and companionship of The Burrow and follow without fear or hesitation the inexorable path laid out for him... In this final, seventh installment of the Harry Potter series, J.K. Rowling unveils in spectacular fashion the answers to the many questions that have been so eagerly awaited.","759 pages, Hardcover",English,"July 21, 2007"
51,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,https://www.goodreads.com/book/show/35031085-frankenstein,3.91,"1,933,982 ratings","97,431 reviews","Mary Shelley's seminal novel of the scientist whose creation becomes a monster. This edition is the original 1818 text, which preserves the hard-hitting and politically charged aspects of Shelley's original writing, as well as her unflinching wit and strong female voice. This edition also includes a new introduction and suggestions for further reading by author and Shelley expert Charlotte Gordon, literary excerpts and reviews selected by Gordon and a chronology and essay by preeminent Shelley scholar Charles E. Robinson.","260 pages, Paperback",English,"January 1, 1818"
52,The Odyssey,Homer,https://www.goodreads.com/book/show/1381.The_Odyssey,3.84,"1,210,821 ratings","27,240 reviews","Sing to me of the man, Muse, the man of twists and turns driven time and again off course, once he had plundered the hallowed heights of Troy. So begins Robert Fagles' magnificent translation of the Odyssey . If the Iliad is the world's greatest war epic, then the Odyssey is literature's grandest evocation of everyman's journey though life. Odysseus' reliance on his wit and wiliness for survival in his encounters with divine and natural forces, during his ten-year voyage home to Ithaca after the Trojan War, is at once a timeless human story and an individual test of moral endurance. In the myths and legends that are retold here, Fagles has captured the energy and poetry of Homer's original in a bold, contemporary idiom, and given us an Odyssey to read aloud, to savor, and to treasure for its sheer lyrical mastery. Renowned classicist Bernard Knox's superb Introduction and textual commentary provide new insights and background information for the general reader and scholar alike, intensifying the strength of Fagles' translation. This is an Odyssey to delight both the classicist and the public at large, and to captivate a new generation of Homer's students. -- Robert Fagles, winner of the PEN/Ralph Manheim Medal for Translation and a 1996 Academy Award in Literature from the American Academy of Arts and Letters, presents us with Homer's best-loved and most accessible poem in a stunning new modern-verse translation.","541 pages, Paperback",English,"January 1, 801"
53,"The Girl With the Dragon Tattoo (Millennium, #1)",Stieg Larsson,https://www.goodreads.com/book/show/2429135.The_Girl_With_the_Dragon_Tattoo,,,,,,,
54,"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale,4.15,"2,471,253 ratings","125,372 reviews","Offred is a Handmaid in the Republic of Gilead. She may leave the home of the Commander and his wife once a day to walk to food markets whose signs are now pictures instead of words because women are no longer allowed to read. She must lie on her back once a month and pray that the Commander makes her pregnant, because in an age of declining births, Offred and the other Handmaids are valued only if their ovaries are viable. Offred can remember the years before, when she lived and made love with her husband, Luke; when she played with and protected her daughter; when she had a job, money of her own, and access to knowledge. But all of that is gone now… Funny, unexpected, horrifying, and altogether convincing, The Handmaid's Tale is at once scathing satire, dire warning, and tour de force.","311 pages, Paperback",English,"April 17, 1985"
55,The Kite Runner,Khaled Hosseini,https://www.goodreads.com/book/show/77203.The_Kite_Runner,4.36,"3,531,996 ratings","115,785 reviews","1970s Twelve-year-old Amir is desperate to win the local kite-fighting tournament and his loyal friend Hassan promises to help him. But neither of the boys can foresee what would happen to Hassan that afternoon, an event that is to shatter their lives. After the Russians invade and the family is forced to flee to America, Amir realises that one day he must return to an Afghanistan under Taliban rule to find the one thing that his new world cannot grant redemption.","371 pages, Paperback",English,"May 29, 2003"
56,"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time,3.97,"1,295,906 ratings","44,439 reviews","It was a dark and stormy night; Meg Murry, her small brother Charles Wallace, and her mother had come down to the kitchen for a midnight snack when they were upset by the arrival of a most disturbing stranger. ""Wild nights are my glory,"" the unearthly stranger told them. ""I just got caught in a downdraft and blown off course. Let me sit down for a moment, and then I'll be on my way. Speaking of ways, by the way, there is such a thing as a tesseract."" A tesseract (in case the reader doesn't know) is a wrinkle in time. To tell more would rob the reader of the enjoyment of Miss L'Engle's unusual book. A Wrinkle in Time , winner of the Newberry Medal in 1963, is the story of the adventures in space and time of Meg, Charles Wallace, and Calvin O'Keefe (athlete, student, and one of the most popular boys in high school). They are in search of Meg's father, a scientist who disappeared while engaged in secret work for the government on the tesseract problem.","218 pages, Paperback",English,"January 1, 1962"
57,"The Giver (The Giver, #1)",Lois Lowry,https://www.goodreads.com/book/show/3636.The_Giver,4.12,"2,839,961 ratings","89,541 reviews","At the age of twelve, Jonas, a young boy from a seemingly utopian, futuristic world, is singled out to receive special training from The Giver, who alone holds the memories of the true joys and pain of life.","208 pages, Paperback",English,"April 26, 1993"
58,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban,,,,,,,
59,"Dune (Dune, #1)",Frank Herbert,https://www.goodreads.com/book/show/44767458-dune,4.29,"1,652,600 ratings","84,552 reviews","Set on the desert planet Arrakis, Dune is the story of the boy Paul Atreides, heir to a noble family tasked with ruling an inhospitable world where the only thing of value is the “spice” melange, a drug capable of extending life and enhancing consciousness. Coveted across the known universe, melange is a prize worth killing for... When House Atreides is betrayed, the destruction of Paul’s family will set the boy on a journey toward a destiny greater than he could ever have imagined. And as he evolves into the mysterious man known as Muad’Dib, he will bring to fruition humankind’s most ancient and unattainable dream.","658 pages, Hardcover",English,"June 1, 1965"
60,Where the Wild Things Are,Maurice Sendak,https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are,,,,,,,
61,Green Eggs and Ham,Dr. Seuss,https://www.goodreads.com/book/show/23772.Green_Eggs_and_Ham,4.32,"853,260 ratings","12,569 reviews","NATIONAL BESTSELLER • Join in the fun with Sam-I-Am in this iconic Dr. Seuss classic about the joy of trying new things. And don’t miss the Netflix series adaptation! One of The Atlantic’s 65 Essential Children’s Books I do not like green eggs and ham. I do not like them, Sam-I-am. With unforgettable characters and signature rhymes, Dr. Seuss’s beloved favorite has cemented its place as a children’s classic. Kids will love the terrific tongue twisters as the list of places to enjoy green eggs and ham gets longer and longer...and they might even find themselves craving something new! Beginner Books are fun, funny, and easy to read! Launched by Dr. Seuss in 1957 with the publication of The Cat in the Hat, this beloved early reader series motivates children to read on their own by using simple words with illustrations that give clues to their meaning. Featuring a combination of kid appeal, supportive vocabulary, and bright, cheerful art, Beginner Books will encourage a love of reading in children ages 3–7.","64 pages, Hardcover",English,"August 12, 1960"
62,The Lovely Bones,Alice Sebold,https://www.goodreads.com/book/show/12232938-the-lovely-bones,3.86,"2,471,508 ratings","50,057 reviews","""My name was Salmon, like the fish; first name, Susie. I was fourteen when I was murdered on December 6, 1973."" So begins the story of Susie Salmon, who is adjusting to her new home in heaven, a place that is not at all what she expected, even as she is watching life on earth continue without her -- her friends trading rumors about her disappearance, her killer trying to cover his tracks, her grief-stricken family unraveling. Out of unspeakable tragedy and loss, The Lovely Bones succeeds, miraculously, in building a tale filled with hope, humor, suspense, even joy.","372 pages, Mass Market Paperback",English,"July 3, 2002"
63,"The Adventures of Huckleberry Finn (Adventures of Tom and Huck, #2)",Mark Twain,https://www.goodreads.com/book/show/2956.The_Adventures_of_Huckleberry_Finn,3.83,"1,343,928 ratings","26,230 reviews","A nineteenth-century boy from a Mississippi River town recounts his adventures as he travels down the river with a runaway slave, encountering a family involved in a feud, two scoundrels pretending to be royalty, and Tom Sawyer's aunt who mistakes him for Tom.","327 pages, Paperback",English,"January 1, 1885"
64,Life of Pi,Yann Martel,https://www.goodreads.com/book/show/4214.Life_of_Pi,3.94,"1,764,724 ratings","57,581 reviews","Life of Pi is a fantasy adventure novel by Yann Martel published in 2001. The protagonist, Piscine Molitor ""Pi"" Patel, a Tamil boy from Pondicherry, explores issues of spirituality and practicality from an early age. He survives 227 days after a shipwreck while stranded on a boat in the Pacific Ocean with a Bengal tiger named Richard Parker.","460 pages, Paperback",English,"September 11, 2001"
65,Lolita,Vladimir Nabokov,https://www.goodreads.com/book/show/7604.Lolita,3.87,"957,321 ratings","51,462 reviews","Librarian's note: Alternate cover edition of ISBN 9780141182537 . Humbert Humbert - scholar, aesthete and romantic - has fallen completely and utterly in love with Dolores Haze, his landlady's gum-snapping, silky skinned twelve-year-old daughter. Reluctantly agreeing to marry Mrs Haze just to be close to Lolita, Humbert suffers greatly in the pursuit of romance; but when Lo herself starts looking for attention elsewhere, he will carry her off on a desperate cross-country misadventure, all in the name of Love. Hilarious, flamboyant, heart-breaking and full of ingenious word play, Lolita is an immaculate, unforgettable masterpiece of obsession, delusion and lust.","368 pages, Paperback",English,"September 1, 1955"
66,A Tale of Two Cities,Charles Dickens,https://www.goodreads.com/book/show/1953.A_Tale_of_Two_Cities,3.88,"1,020,018 ratings","27,615 reviews","A Tale of Two Cities is Charles Dickens’s great historical novel, set against the violent upheaval of the French Revolution. The most famous and perhaps the most popular of his works, it compresses an event of immense complexity to the scale of a family history, with a cast of characters that includes a bloodthirsty ogress and an antihero as believably flawed as any in modern fiction. Though the least typical of the author’s novels, A Tale of Two Cities still underscores many of his enduring themes—imprisonment, injustice, social anarchy, resurrection, and the renunciation that fosters renewal.","489 pages, Paperback",English,"November 26, 1859"
67,Slaughterhouse-Five,Kurt Vonnegut Jr.,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five,4.10,"1,497,509 ratings","50,619 reviews","Slaughterhouse-Five , an American classic, is one of the world’s great antiwar books. Centering on the infamous World War II firebombing of Dresden, the novel is the result of what Kurt Vonnegut described as a twenty-three year struggle to write a book about what he had witnessed as an American prisoner of war. It combines historical fiction, science fiction, autobiography, and satire in an account of the life of Billy Pilgrim, a barber’s son turned draftee turned optometrist turned alien abductee. Just as Vonnegut had, Billy experiences the destruction of Dresden as a POW. Unlike Vonnegut, he experiences time travel, or coming “unstuck in time.” Slaughterhouse-Five made Kurt Vonnegut a cult hero in American literature, a reputation that only strengthened over time, despite his being banned and censored by some libraries and schools for content and language. But it was precisely those elements of Vonnegut’s writing — the political edginess, the genre-bending inventiveness, the frank violence, the transgressive wit — that have inspired generations of readers not just to look differently at the world around them but to find the confidence to say something about it. Fifty years after its initial publication at the height of the Vietnam War, Vonnegut's portrayal of political disillusionment, PTSD, and postwar anxiety feels as relevant, darkly humorous, and profoundly affecting as ever, an enduring beacon through our own era’s uncertainties.","275 pages, Paperback",English,"March 31, 1969"
68,The Bell Jar,Sylvia Plath,https://www.goodreads.com/book/show/6514.The_Bell_Jar,,,,,,,
69,Matilda,Roald Dahl,https://www.goodreads.com/book/show/39988.Matilda,4.34,"1,123,967 ratings","27,031 reviews","“The Trunchbull” is no match for Matilda! Matilda is a little girl who is far too good to be true. At age five-and-a-half she's knocking off double-digit multiplication problems and blitz-reading Dickens. Even more remarkably, her classmates love her even though she's a super-nerd and the teacher's pet. But everything is not perfect in Matilda's world... For starters she has two of the most idiotic, self-centered parents who ever lived. Then there's the large, busty nightmare of a school principal, Miss (""The"") Trunchbull, a former hammer-throwing champion who flings children at will, and is approximately as sympathetic as a bulldozer. Fortunately for Matilda, she has the inner resources to deal with such annoyances: astonishing intelligence, saintly patience, and an innate predilection for revenge. Roald Dahl was a spy, ace fighter-pilot, chocolate historian, and medical inventor. He was also the author of Charlie and the Chocolate Factory , Matilda , The BFG , and many more brilliant stories. He remains the World's No. 1 Storyteller.","240 pages, Hardcover",English,"September 28, 1988"
70,Water for Elephants,Sara Gruen,https://www.goodreads.com/book/show/43641.Water_for_Elephants,4.11,"1,710,363 ratings","65,623 reviews","When Jacob Jankowski, recently orphaned and suddenly adrift, jumps onto a passing train, he enters a world of freaks, drifters, and misfits, a second-rate circus struggling to survive during the Great Depression, making one-night stands in town after endless town. A veterinary student who almost earned his degree, Jacob is put in charge of caring for the circus menagerie. It is there that he meets Marlena, the beautiful young star of the equestrian act, who is married to August, the charismatic but twisted animal trainer. He also meets Rosie, an elephant who seems untrainable until he discovers a way to reach her. Beautifully written, Water for Elephants is illuminated by a wonderful sense of time and place. It tells a story of a love between two people that overcomes incredible odds in a world in which even love is a luxury that few can afford.","368 pages, Paperback",English,"May 22, 2006"
71,"Harry Potter and the Philosopher's Stone (Harry Potter, #1)",J.K. Rowling,https://www.goodreads.com/book/show/42844155-harry-potter-and-the-philosopher-s-stone,4.47,"11,548,512 ratings","197,420 reviews","An alternative cover for this ASIN can be found here ""Turning the envelope over, his hand trembling, Harry saw a purple wax seal bearing a coat of arms; a lion, an eagle, a badger and a snake surrounding a large letter 'H'."" Harry Potter has never even heard of Hogwarts when the letters start dropping on the doormat at number four, Privet Drive. Addressed in green ink on yellowish parchment with a purple seal, they are swiftly confiscated by his grisly aunt and uncle. Then, on Harry's eleventh birthday, a great beetle-eyed giant of a man called Rubeus Hagrid bursts in with some astonishing news: Harry Potter is a wizard, and he has a place at Hogwarts School of Witchcraft and Wizardry. An incredible adventure is about to begin!","333 pages, Kindle Edition",English,"June 26, 1997"
72,The Stand,Stephen  King,https://www.goodreads.com/book/show/149267.The_Stand,4.35,"844,256 ratings","35,821 reviews","This is the way the world ends: with a nanosecond of computer error in a Defense Department laboratory and a million casual contacts that form the links in a chain letter of death. And here is the bleak new world of the day after: a world stripped of its institutions and emptied of 99 percent of its people. A world in which a handful of panicky survivors choose sides - or are chosen. A world in which good rides on the frail shoulders of the 108-year-old Mother Abagail - and the worst nightmares of evil are embodied in a man with a lethal smile and unspeakable powers: Randall Flagg, the dark man.","1152 pages, Hardcover",English,"October 3, 1978"
73,Catch-22,Joseph Heller,https://www.goodreads.com/book/show/168668.Catch_22,3.99,"892,705 ratings","27,928 reviews","Fifty years after its original publication, Catch-22 remains a cornerstone of American literature and one of the funniest—and most celebrated—books of all time. In recent years it has been named to “best novels” lists by Time, Newsweek, the Modern Library, and the London Observer. Set in Italy during World War II, this is the story of the incomparable, malingering bombardier, Yossarian, a hero who is furious because thousands of people he has never met are trying to kill him. But his real problem is not the enemy—it is his own army, which keeps increasing the number of missions the men must fly to complete their service. Yet if Yossarian makes any attempt to excuse himself from the perilous missions he’s assigned, he’ll be in violation of Catch-22, a hilariously sinister bureaucratic rule: a man is considered insane if he willingly continues to fly dangerous combat missions, but if he makes a formal request to be removed from duty, he is proven sane and therefore ineligible to be relieved. This fiftieth-anniversary edition commemorates Joseph Heller’s masterpiece with a new introduction by Christopher Buckley; a wealth of critical essays and reviews by Norman Mailer, Alfred Kazin, Anthony Burgess, and others; rare papers and photos from Joseph Heller’s personal archive; and much more. Here, at last, is the definitive edition of a classic of world literature.","453 pages, Paperback",English,"November 10, 1961"
74,"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,https://www.goodreads.com/book/show/3590.The_Adventures_of_Sherlock_Holmes,4.30,"329,059 ratings","10,995 reviews","The Adventures of Sherlock Holmes is the series of short stories that made the fortunes of the Strand magazine, in which they were first published, and won immense popularity for Sherlock Holmes and Dr Watson. The detective is at the height of his powers and the volume is full of famous cases, including 'The Red-Headed League', 'The Blue Carbuncle', and 'The Speckled Band'. The editor of this volume, Richard Lancelyn Green is editor of The Uncollected Sherlock Holmes and The Further Adventures of Sherlock Holmes . With John Michael Gibson, he compiled the Soho Series Bibliography of A. Conan Doyle. 1. A Scandal In Bohemia 2. The Red-Headed League 3. A Case Of Identity 4. The Boscombe Valley Mystery 5. The Five Orange Pips 6. The Man With The Twisted Lip 7. The Adventure Of The Blue Carbuncle 8. The Adventure Of The Speckled Band 9. The Adventure Of The Engineer's Thumb 10. The Adventure Of The Noble Bachelor 11. The Adventure Of The Beryl Coronet 12. The Adventure Of The Copper Beaches","389 pages, Paperback",English,"October 14, 1892"
75,"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,https://www.goodreads.com/book/show/5043.The_Pillars_of_the_Earth,4.35,"839,942 ratings","42,452 reviews","Ken Follett is known worldwide as the master of split-second suspense, but his most beloved and bestselling book tells the magnificent tale of a twelfth-century monk driven to do the seemingly impossible: build the greatest Gothic cathedral the world has ever known. Everything readers expect from Follett is here: intrigue, fast-paced action, and passionate romance. But what makes The Pillars of the Earth extraordinary is the time the twelfth century; the place feudal England; and the subject the building of a glorious cathedral. Follett has re-created the crude, flamboyant England of the Middle Ages in every detail. The vast forests, the walled towns, the castles, and the monasteries become a familiar landscape. Against this richly imagined and intricately interwoven backdrop, filled with the ravages of war and the rhythms of daily life, the master storyteller draws the reader irresistibly into the intertwined lives of his characters into their dreams, their labors, and their loves: Tom, the master builder; Aliena, the ravishingly beautiful noblewoman; Philip, the prior of Kingsbridge; Jack, the artist in stone; and Ellen, the woman of the forest who casts a terrifying curse. From humble stonemason to imperious monarch, each character is brought vividly to life. The building of the cathedral, with the almost eerie artistry of the unschooled stonemasons, is the center of the drama. Around the site of the construction, Follett weaves a story of betrayal, revenge, and love, which begins with the public hanging of an innocent man and ends with the humiliation of a king. For the TV tie-in edition with the same ISBN go to this Alternate Cover Edition","976 pages, Paperback",English,"October 1, 1989"
76,Rebecca,Daphne du Maurier,https://www.goodreads.com/book/show/17899948-rebecca,4.25,"735,553 ratings","52,131 reviews","Last night I dreamt I went to Manderley again... The novel begins in Monte Carlo, where our heroine is swept off her feet by the dashing widower Maxim de Winter and his sudden proposal of marriage. Orphaned and working as a lady's maid, she can barely believe her luck. It is only when they arrive at his massive country estate that she realizes how large a shadow his late wife will cast over their lives--presenting her with a lingering evil that threatens to destroy their marriage from beyond the grave. First published in 1938, this classic gothic novel is such a compelling read that it won the Anthony Award for Best Novel of the Century.","449 pages, Kindle Edition",English,"August 1, 1938"
77,A Clockwork Orange,Anthony Burgess,https://www.goodreads.com/book/show/41817486-a-clockwork-orange,4.00,"778,148 ratings","26,045 reviews","In Anthony Burgess's influential nightmare vision of the future, criminals take over after dark. Teen gang leader Alex narrates in fantastically inventive slang that echoes the violent intensity of youth rebelling against society. Dazzling and transgressive, A Clockwork Orange is a frightening fable about good and evil and the meaning of human freedom. This edition includes the controversial last chapter not published in the first edition, and Burgess’s introduction, “A Clockwork Orange Resucked.”","240 pages, Paperback",English,"January 1, 1962"
78,"Watership Down (Watership Down, #1)",Richard  Adams,https://www.goodreads.com/book/show/76620.Watership_Down,4.09,"508,704 ratings","20,335 reviews","Librarian's note: See alternate cover edition of ISBN13 9780380395866 here . Set in England's Downs, a once idyllic rural landscape, this stirring tale of adventure, courage and survival follows a band of very special creatures on their flight from the intrusion of man and the certain destruction of their home. Led by a stouthearted pair of friends, they journey forth from their native Sandleford Warren through the harrowing trials posed by predators and adversaries, to a mysterious promised land and a more perfect society.","478 pages, Mass Market Paperback",English,"November 1, 1972"
79,The Color Purple,Alice Walker,https://www.goodreads.com/book/show/52892857-the-color-purple,4.28,"759,699 ratings","32,203 reviews","Read the original inspiration for the new, boldly reimagined film from producers Oprah Winfrey and Steven Spielberg, starring Taraji P. Henson, Danielle Brooks, and Fantasia Barrino. Winner of the Pulitzer Prize and the National Book Award A powerful cultural touchstone of modern American literature, The Color Purple depicts the lives of African American women in early twentieth-century rural Georgia. Separated as girls, sisters Celie and Nettie sustain their loyalty to and hope in each other across time, distance and silence. Through a series of letters spanning twenty years, first from Celie to God, then the sisters to each other despite the unknown, the novel draws readers into its rich and memorable portrayals of Celie, Nettie, Shug Avery and Sofia and their experience. The Color Purple broke the silence around domestic and sexual abuse, narrating the lives of women through their pain and struggle, companionship and growth, resilience and bravery. Deeply compassionate and beautifully imagined, Alice Walker's epic carries readers on a spirit-affirming journey towards redemption and love. “Reading The Color Purple was the first time I had seen Southern, Black women’s literature as world literature. In writing us into the world—bravely, unapologetically, and honestly—Alice Walker has given us a gift we will never be able to repay.” —Tayari Jones “ The Color Purple was what church should have been, what honest familial reckoning could have been, and it is still the only art object in the world by which all three generations of Black artists in my family judge American art.” —Kiese Laymon","287 pages, Paperback",English,"June 1, 1982"
80,Great Expectations,Charles Dickens,https://www.goodreads.com/book/show/2623.Great_Expectations,3.80,"881,341 ratings","26,149 reviews","Great Expectations charts the progress of Pip from childhood through often painful experiences to adulthood, as he moves from the Kent marshes to busy, commercial London, encountering a variety of extraordinary characters ranging from Magwitch, the escaped convict, to Miss Havisham, locked up with her unhappy past and living with her ward, the arrogant, beautiful Estella. Pip must discover his true self, and his own set of values and priorities. Whether such values allow one to prosper in the complex world of early Victorian England is the major question posed by Great Expectations, one of Dickens's most fascinating, and disturbing, novels. This edition includes the original, discarded ending, Dickens's brief working notes, and the serial instalments and chapter divisions in different editions. It also uses the definitive Clarendon text.","544 pages, Paperback",English,"January 1, 1861"
